series,axis_cells,regions,ranks,mode,stage,samples,seconds_max_rank_median,seconds_max_rank_min,seconds_max_rank_max,peak_rss_bytes_max_rank_median,peak_rss_bytes_max_rank_min,peak_rss_bytes_max_rank_max,measured_mesh_bytes_max_rank_median,measured_mesh_bytes_max_rank_min,measured_mesh_bytes_max_rank_max,compatibility_bytes_max_rank_median,compatibility_bytes_max_rank_min,compatibility_bytes_max_rank_max,ghost_owned_ratio_max_rank_median,ghost_owned_ratio_max_rank_min,ghost_owned_ratio_max_rank_max
main,32,2,2,native,solve_including_preconditioner,1,0.015308813,0.015308813,0.015308813,88432640,88432640,88432640,183744,183744,183744,0,0,0,0.0625,0.0625,0.0625
main,32,2,2,native,traversal_average,1,0.005055694,0.005055694,0.005055694,81825792,81825792,81825792,183744,183744,183744,0,0,0,0.0625,0.0625,0.0625
main,32,2,4,composite,application_average,1,7.28722e-05,7.28722e-05,7.28722e-05,71340032,71340032,71340032,109728,109728,109728,0,0,0,0.125,0.125,0.125
main,32,2,4,composite,assembly,1,0.212953,0.212953,0.212953,70684672,70684672,70684672,109728,109728,109728,0,0,0,0.125,0.125,0.125
main,32,2,4,composite,construction,1,0.090996931,0.090996931,0.090996931,67182592,67182592,67182592,109728,109728,109728,0,0,0,0.125,0.125,0.125
main,32,2,4,composite,execution_view_setup,1,1.127e-06,1.127e-06,1.127e-06,67182592,67182592,67182592,109728,109728,109728,0,0,0,0.125,0.125,0.125
main,32,2,4,composite,native_region_traversal_average,1,0.0010667366,0.0010667366,0.0010667366,67182592,67182592,67182592,109728,109728,109728,0,0,0,0.125,0.125,0.125
main,32,2,4,composite,output,1,0.023036437,0.023036437,0.023036437,73515008,73515008,73515008,109728,109728,109728,0,0,0,0.125,0.125,0.125
main,32,2,4,composite,solve_including_preconditioner,1,0.014094304,0.014094304,0.014094304,73515008,73515008,73515008,109728,109728,109728,0,0,0,0.125,0.125,0.125
main,32,2,4,composite,traversal_average,1,0.036226427,0.036226427,0.036226427,67182592,67182592,67182592,109728,109728,109728,0,0,0,0.125,0.125,0.125
main,32,2,4,materialized,application_average,1,4.23338e-05,4.23338e-05,4.23338e-05,71311360,71311360,71311360,1591688,1591688,1591688,294920,294920,294920,0.125,0.125,0.125
main,32,2,4,materialized,assembly,1,0.222419231,0.222419231,0.222419231,70627328,70627328,70627328,1591688,1591688,1591688,294920,294920,294920,0.125,0.125,0.125
main,32,2,4,materialized,construction,1,0.128030413,0.128030413,0.128030413,67297280,67297280,67297280,1591688,1591688,1591688,294920,294920,294920,0.125,0.125,0.125
main,32,2,4,materialized,execution_view_setup,1,1.233e-06,1.233e-06,1.233e-06,67297280,67297280,67297280,1591688,1591688,1591688,294920,294920,294920,0.125,0.125,0.125
main,32,2,4,materialized,native_region_traversal_average,1,0.0010855926,0.0010855926,0.0010855926,67297280,67297280,67297280,1591688,1591688,1591688,294920,294920,294920,0.125,0.125,0.125
main,32,2,4,materialized,output,1,0.022967971,0.022967971,0.022967971,73592832,73592832,73592832,1591688,1591688,1591688,294920,294920,294920,0.125,0.125,0.125
main,32,2,4,materialized,solve_including_preconditioner,1,0.013947205,0.013947205,0.013947205,73461760,73461760,73461760,1591688,1591688,1591688,294920,294920,294920,0.125,0.125,0.125
main,32,2,4,materialized,traversal_average,1,0.0140500938,0.0140500938,0.0140500938,67297280,67297280,67297280,1591688,1591688,1591688,294920,294920,294920,0.125,0.125,0.125
main,32,2,4,native,application_average,1,6.4052e-05,6.4052e-05,6.4052e-05,73449472,73449472,73449472,110472,110472,110472,0,0,0,0.25,0.25,0.25
main,32,2,4,native,assembly,1,0.018074348,0.018074348,0.018074348,72630272,72630272,72630272,110472,110472,110472,0,0,0,0.25,0.25,0.25
main,32,2,4,native,construction,1,0.040340496,0.040340496,0.040340496,69062656,69062656,69062656,110472,110472,110472,0,0,0,0.25,0.25,0.25
main,32,2,4,native,execution_view_setup,1,4.224e-06,4.224e-06,4.224e-06,69062656,69062656,69062656,110472,110472,110472,0,0,0,0.25,0.25,0.25
main,32,2,4,native,output,1,0.034793775,0.034793775,0.034793775,75681792,75681792,75681792,110472,110472,110472,0,0,0,0.25,0.25,0.25
main,32,2,4,native,solve_including_preconditioner,1,0.01376791,0.01376791,0.01376791,75681792,75681792,75681792,110472,110472,110472,0,0,0,0.25,0.25,0.25
main,32,2,4,native,traversal_average,1,0.0037921782,0.0037921782,0.0037921782,69062656,69062656,69062656,110472,110472,110472,0,0,0,0.25,0.25,0.25
main,32,8,1,composite,application_average,1,0.0001431854,0.0001431854,0.0001431854,62283776,62283776,62283776,55928,55928,55928,0,0,0,0,0,0
main,32,8,1,composite,assembly,1,0.570576008,0.570576008,0.570576008,62283776,62283776,62283776,55928,55928,55928,0,0,0,0,0,0
main,32,8,1,composite,construction,1,0.029034675,0.029034675,0.029034675,50798592,50798592,50798592,55928,55928,55928,0,0,0,0,0,0
main,32,8,1,composite,execution_view_setup,1,7.74e-07,7.74e-07,7.74e-07,50933760,50933760,50933760,55928,55928,55928,0,0,0,0,0,0
main,32,8,1,composite,native_region_traversal_average,1,0.0024842794,0.0024842794,0.0024842794,50933760,50933760,50933760,55928,55928,55928,0,0,0,0,0,0
main,32,8,1,composite,output,1,0.093945265,0.093945265,0.093945265,68853760,68853760,68853760,55928,55928,55928,0,0,0,0,0,0
main,32,8,1,composite,solve_including_preconditioner,1,0.026911401,0.026911401,0.026911401,62283776,62283776,62283776,55928,55928,55928,0,0,0,0,0,0
main,32,8,1,composite,traversal_average,1,0.1049122096,0.1049122096,0.1049122096,50933760,50933760,50933760,55928,55928,55928,0,0,0,0,0,0
main,32,8,1,flattened,application_average,1,0.0001028874,0.0001028874,0.0001028874,97693696,97693696,97693696,25415368,25415368,25415368,0,0,0,0,0,0
main,32,8,1,flattened,assembly,1,0.029630785,0.029630785,0.029630785,97300480,97300480,97300480,25415368,25415368,25415368,0,0,0,0,0,0
main,32,8,1,flattened,construction,1,0.075856325,0.075856325,0.075856325,91250688,91250688,91250688,25415368,25415368,25415368,0,0,0,0,0,0
main,32,8,1,flattened,execution_view_setup,1,3.04e-07,3.04e-07,3.04e-07,91250688,91250688,91250688,25415368,25415368,25415368,0,0,0,0,0,0
main,32,8,1,flattened,output,1,0.054775397,0.054775397,0.054775397,102240256,102240256,102240256,25415368,25415368,25415368,0,0,0,0,0,0
main,32,8,1,flattened,solve_including_preconditioner,1,0.023578798,0.023578798,0.023578798,100143104,100143104,100143104,25415368,25415368,25415368,0,0,0,0,0,0
main,32,8,1,flattened,traversal_average,1,0.0060306582,0.0060306582,0.0060306582,91250688,91250688,91250688,25415368,25415368,25415368,0,0,0,0,0,0
main,32,8,1,materialized,application_average,1,9.57552e-05,9.57552e-05,9.57552e-05,101867520,101867520,101867520,5369408,5369408,5369408,1048584,1048584,1048584,0,0,0
main,32,8,1,materialized,assembly,1,0.568252894,0.568252894,0.568252894,101474304,101474304,101474304,5369408,5369408,5369408,1048584,1048584,1048584,0,0,0
main,32,8,1,materialized,construction,1,2.164822831,2.164822831,2.164822831,91295744,91295744,91295744,5369408,5369408,5369408,1048584,1048584,1048584,0,0,0
main,32,8,1,materialized,execution_view_setup,1,1.002e-06,1.002e-06,1.002e-06,91426816,91426816,91426816,5369408,5369408,5369408,1048584,1048584,1048584,0,0,0
main,32,8,1,materialized,native_region_traversal_average,1,0.0022397334,0.0022397334,0.0022397334,91426816,91426816,91426816,5369408,5369408,5369408,1048584,1048584,1048584,0,0,0
main,32,8,1,materialized,output,1,0.067131433,0.067131433,0.067131433,108486656,108486656,108486656,5369408,5369408,5369408,1048584,1048584,1048584,0,0,0
main,32,8,1,materialized,solve_including_preconditioner,1,0.024243058,0.024243058,0.024243058,104292352,104292352,104292352,5369408,5369408,5369408,1048584,1048584,1048584,0,0,0
main,32,8,1,materialized,traversal_average,1,0.0434099948,0.0434099948,0.0434099948,91426816,91426816,91426816,5369408,5369408,5369408,1048584,1048584,1048584,0,0,0
main,32,8,1,native,application_average,1,0.0001175582,0.0001175582,0.0001175582,62427136,62427136,62427136,31024,31024,31024,0,0,0,0,0,0
main,32,8,1,native,assembly,1,0.031117776,0.031117776,0.031117776,62427136,62427136,62427136,31024,31024,31024,0,0,0,0,0,0
main,32,8,1,native,construction,1,0.000455982,0.000455982,0.000455982,50855936,50855936,50855936,31024,31024,31024,0,0,0,0,0,0
main,32,8,1,native,execution_view_setup,1,3.939e-06,3.939e-06,3.939e-06,51027968,51027968,51027968,31024,31024,31024,0,0,0,0,0,0
